candidate_index	canonical_source_row	polymer_entity_id	pair_id	historical_screening_index	PDB	chain	UniProt	sequence_cluster	protein_family_if_available	canonical_uniprot_length	mapped_length	mapping_coverage	identity_source_available	mapping_available	pair_qc_status	local_PDB_available	local_AFDB_available	local_PAE_available	local_pLDDT_available	fragment_metadata_available	fragment_count	single_fragment_full_coverage_possible	PDB_CA_coverage_proxy	missing_residue_proxy	global_pLDDT_proxy	low_confidence_fraction_proxy	long_range_PAE_proxy	existing_PDB_AFDB_disagreement_proxy	ligand_annotation_available	interface_annotation_available	known_sequence_mismatch_flag	known_provenance_issue	estimated_P0_readiness	estimated_P1_risk	local_data_complete	missing_local_inputs	sampling_stratum_prior	sampling_stratum_prior_source	prior_evidence_status	prior_evidence_sources	prior_observability_complete	supported_sampling_priors	round1_member
72	71	8RMA_1	8rma_A__W1DN50	106	8rma	A	W1DN50	30:99		291	263	0.9037800687285223	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	93.06	0.10300000000000001	4.5	0.2449399877047166	true				likely_ready	lower_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=106.0;data/raw/afdb/W1DN50/AF-W1DN50-F1/AF-W1DN50-F1-model_v6.cif;data/raw/afdb/W1DN50/AF-W1DN50-F1/pae.json;data/raw/pdb/8rma.cif;data/processed/pairs/8rma_A__W1DN50/residue_mapping.parquet	true	easy_control_prior	true
73	72	9HDW_1	9hdw_A__P11172		9hdw	A	P11172	30:1095					false	false		false	false	false	false	false					92.12								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
74	73	9HOO_1	9hoo_A__P11172		9hoo	A	P11172	30:1095					false	false		false	false	false	false	false					92.12								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
75	74	6TGU_1	6tgu_A__P19784	108	6tgu	A	P19784	30:453		350			false	false		true	false	false	false	false					94.12				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=108.0	false		false
76	75	1XVO_1	1xvo_A__P35049		1xvo	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
77	77	2YKZ_1	2ykz_A__P00138		2ykz	A	P00138	30:3514					false	false		true	false	false	false	false					97.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
78	78	3ZQV_1	3zqv_A__P00138		3zqv	A	P00138	30:3514					false	false		false	false	false	false	false					97.56								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
79	79	4UA9_1	4ua9_A__H6UQI0		4ua9	A	H6UQI0	30:99					false	false		false	false	false	false	false					94.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
80	80	6EIO_1	6eio_A__A0A023J6X7	102	6eio	A	A0A023J6X7	30:17615		251			false	false		true	false	false	false	false					90.0				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=102.0	false		false
81	81	7FFK_1	7ffk_A__P05413		7ffk	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
82	82	7G0Z_1	7g0z_A__P15090	114	7g0z	A	P15090	30:228		132			false	false		true	false	false	false	false			1.0	0.0	95.75				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=114.0	false		false
83	83	7TX0_1	7tx0_A__P0DTD1		7tx0	A	P0DTD1	30:44					false	false		false	true	true	true	true	1				96.08	0.01							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
84	84	7WKG_1	7wkg_A__P05413		7wkg	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
85	85	4LAU_1	4lau_A__P15121		4lau	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
86	87	1M40_1	1m40_A__P62593		1m40	A	P62593	30:947					false	false		false	false	false	false	false					94.88								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
87	88	1MC2_1	1mc2_A__O57385	33	1mc2	A	O57385	30:297		138			false	false		true	false	false	false	false			1.0	0.0	89.75				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=33.0	false		false
88	89	1PJX_1	1pjx_A__Q7SIG4		1pjx	A	Q7SIG4	30:6115		314			false	false		false	true	true	true	true	1	true			98.44	0.003							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
89	90	1PQ5_1	1pq5_A__P35049		1pq5	A	P35049	30:3022		248			false	false		false	true	true	true	true	1	true			92.62	0.101							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
90	91	1X8P_1	1x8p_A__Q94734	35	1x8p	A	Q94734	30:2732		205	184	0.8975609756097561	true	true	warn	true	true	true	true	true	1	true	1.0	0.0	88.75	0.127	6.5	0.23724870479544868	true			pair_qc_not_acceptable	known_blocked	unknown	true		uncertain_or_unclassified	observed_but_no_complete_positive_prior	observed_no_positive_prior	reports/a0_candidate_summary.csv:screening_index=35.0	false		true
91	92	1X8Q_1	1x8q_A__Q94734		1x8q	A	Q94734	30:2732		205			false	false		false	true	true	true	true	1	true			88.75	0.127							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
92	93	2F01_1	2f01_A__P22629	19	2f01	A	P22629	30:539		183			false	false		true	false	false	false	false			0.952755905511811	0.047244094488189003	84.81				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=19.0	false		false
93	94	2PF8_1	2pf8_A__P15121		2pf8	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
94	95	2PFH_1	2pfh_A__P15121		2pfh	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
95	96	3O4P_1	3o4p_A__Q7SIG4	24	3o4p	A	Q7SIG4	30:6115		314	314	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	98.44	0.003	3.5	0.15150360922880443	true			missing_mapping_column	known_blocked	unknown	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=24.0;data/raw/afdb/Q7SIG4/model.cif;data/raw/afdb/Q7SIG4/pae.json;data/raw/pdb/3o4p.cif;data/processed/pairs/3o4p_A__Q7SIG4/residue_mapping.parquet	true	easy_control_prior	true
96	97	3PYP_1	3pyp_A__P16113		3pyp	A	P16113	30:1944		125			false	false		false	true	true	true	true	1	true			95.81	0.016							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
97	98	3QPA_1	3qpa_A__P00590		3qpa	A	P00590	30:3382					false	false		false	false	false	false	false					92.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
98	99	4AYO_1	4ayo_A__B0SWV2	26	4ayo	A	B0SWV2	30:10033		462			false	false		true	false	false	false	false			0.9954128440366972	0.004587155963302836	95.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=26.0	false		false
99	100	4I8K_1	4i8k_A__P00760		4i8k	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
100	101	4IGS_1	4igs_A__P15121		4igs	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
101	102	4LAZ_1	4laz_A__P15121		4laz	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
102	103	4O8H_1	4o8h_A__P30405		4o8h	A	P30405	30:527					false	false		false	false	false	false	false					88.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
103	106	5EMB_1	5emb_A__Q8K4V4	20	5emb	A	Q8K4V4	30:6654		539			false	false		true	false	false	false	false			1.0	0.0	83.56				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=20.0	false		false
104	107	5RDH_1	5rdh_A__P11838	27	5rdh	A	P11838	30:52		419			false	false		true	false	false	false	false			0.7875894988066826	0.2124105011933174	89.19				false				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=27.0	false		false
105	108	5VLE_1	5vle_A__H6UQI0		5vle	A	H6UQI0	30:99					false	false		false	false	false	false	false					94.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
106	110	6ETK_1	6etk_A__P61823		6etk	A	P61823	30:399					false	false		false	false	false	false	false					94.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
107	111	6ETL_1	6etl_A__P61823		6etl	A	P61823	30:399					false	false		false	false	false	false	false					94.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
108	112	6JGI_1	6jgi_A__P42212		6jgi	A	P42212	30:925		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
109	113	6UN0_1	6un0_A__P16113		6un0	A	P16113	30:1944		125			false	false		false	true	true	true	true	1	true			95.81	0.016							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
110	114	7AOT_1	7aot_A__Q13451		7aot	A	Q13451	30:1204					false	false		false	false	false	false	false					92.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
111	115	7BBX_1	7bbx_A__Q5F6E9	25	7bbx	A	Q5F6E9	30:3246		351	351	1.0	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	97.19	0.003	4.5	0.40398149396495614	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		state_disagreement_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=25.0;data/raw/afdb/Q5F6E9/AF-Q5F6E9-F1/model.cif;data/raw/pdb/7bbx.cif;data/processed/pairs/7bbx_A__Q5F6E9/residue_mapping.parquet	true	state_disagreement_prior	true
112	116	7KQO_1	7kqo_A__P0DTD1		7kqo	A	P0DTD1	30:44					false	false		false	true	true	true	true	1				96.08	0.01							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
113	117	7P4R_1	7p4r_AAA__P61823		7p4r	AAA	P61823	30:399					false	false		false	false	false	false	false					94.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
114	118	7WCI_1	7wci_A__P05413		7wci	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
115	119	8R30_1	8r30_A__Q2PUH3		8r30	A	Q2PUH3	30:99					false	false		false	false	false	false	false					93.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
116	120	6KL1_1	6kl1_A__P42212		6kl1	A	P42212	30:925		238			false	false		false	true	true	true	true	1	true			96.62	0.013							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
117	121	5MNN_1	5mnn_A__P00760		5mnn	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
118	122	1MUW_1	1muw_A__P15587	28	1muw	A	P15587	30:913		387	386	0.9974160206718347	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	98.56	0.003	4.5	0.18468816864483129	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=28.0;data/raw/afdb/P15587/AF-P15587-F1/model.cif;data/raw/afdb/P15587/AF-P15587-F1/pae.json;data/raw/pdb/1muw.cif;data/processed/pairs/1muw_A__P15587/residue_mapping.parquet	true	easy_control_prior	true
119	123	2DDX_1	2ddx_A__D5MP61	29	2ddx	A	D5MP61	30:31911		576			false	false		true	false	false	false	false			0.9908256880733946	0.00917431192660545	85.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=29.0	false		false
120	124	3WDN_1	3wdn_A__P20821	15	3wdn	A	P20821	30:11831		173			false	false		true	false	false	false	false			1.0	0.0	84.19				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=15.0	false		false
121	125	4TKB_1	4tkb_A__P05413		4tkb	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
122	126	4UAA_1	4uaa_A__H6UQI0		4uaa	A	H6UQI0	30:99					false	false		false	false	false	false	false					94.5								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
123	127	5AVD_1	5avd_A__P00772	103	5avd	A	P00772	30:1378		266	240	0.9022556390977443	true	true	pass	true	true	true	true	true	1	true	1.0	0.0	91.56	0.10200000000000001	4.5	0.13395304013833764	true		true	pdb_amino_acid_mismatch	likely_ready	known_high_risk	true		easy_control_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=103.0;data/raw/afdb/P00772/AF-P00772-F1/AF-P00772-F1-model_v6.cif;data/raw/afdb/P00772/AF-P00772-F1/pae.json;data/raw/pdb/5avd.cif;data/processed/pairs/5avd_A__P00772/residue_mapping.parquet	true	easy_control_prior	true
124	128	5MNG_1	5mng_A__P00760		5mng	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
125	129	6S2S_1	6s2s_A__P02689		6s2s	A	P02689	30:228		132			false	false		false	true	true	true	true	1	true			96.38	0.015							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
126	130	7FBF_1	7fbf_A__P05413		7fbf	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
127	131	7FDT_1	7fdt_A__P05413		7fdt	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
128	132	7FDU_1	7fdu_A__P05413		7fdu	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
129	133	7WJ1_1	7wj1_A__P05413		7wj1	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
130	134	7X48_1	7x48_A__P05413		7x48	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
131	135	8K9N_1	8k9n_A__P04377		8k9n	A	P04377	30:4724					false	false		false	false	false	false	false					92.62								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
132	136	9HDS_1	9hds_A__P11172		9hds	A	P11172	30:1095					false	false		false	false	false	false	false					92.12								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
133	138	4QXI_1	4qxi_A__P15121		4qxi	A	P15121	30:408					false	false		false	false	false	false	false					98.31								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
134	139	1DY5_1	1dy5_A__P61823		1dy5	A	P61823	30:399					false	false		false	false	false	false	false					94.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
135	140	4I8J_1	4i8j_A__P00760		4i8j	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
136	141	4I8L_1	4i8l_A__P00760		4i8l	A	P00760	30:71		246			false	false		false	true	true	true	true	1	true			93.12	0.098							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
137	142	4TJZ_1	4tjz_A__P05413		4tjz	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
138	143	4TKJ_1	4tkj_A__P05413		4tkj	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
139	144	5AKR_1	5akr_A__P25006	30	5akr	A	P25006	30:786		378			false	false		true	false	false	false	false			0.8915343915343915	0.10846560846560849	92.31				true				partial_local_inputs	unknown	false	pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved	reports/a0_candidate_summary.csv:screening_index=30.0	false		false
140	145	5DJ7_1	5dj7_A__Q54137		5dj7	A	Q54137	30:18309					false	false		false	false	false	false	false					89.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
141	146	7HCO_1	7hco_A__P0DTD1		7hco	A	P0DTD1	30:44					false	false		false	true	true	true	true	1				96.08	0.01							partial_local_inputs	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
142	147	7R25_1	7r25_A__W8FKE7		7r25	A	W8FKE7	30:8285					false	false		false	false	false	false	false					90.06								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
143	148	7WE5_1	7we5_A__P05413		7we5	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
144	149	7WQ7_1	7wq7_A__P05413		7wq7	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
145	151	2P74_1	2p74_A__Q9L5C8		2p74	A	Q9L5C8	30:99					false	false		false	false	false	false	false					93.25								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
146	152	3KLR_1	3klr_A__P20821		3klr	A	P20821	30:11831					false	false		false	false	false	false	false					84.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
147	153	3WVM_1	3wvm_A__P05413		3wvm	A	P05413	30:228					false	false		false	false	false	false	false					96.19								insufficient_local_evidence	unknown	false	pdb_structure;sifts_mapping;pair_qc;residue_mapping;afdb_metadata;afdb_model;afdb_pae;afdb_plddt	uncertain_or_unclassified	no_positive_observable_evidence	unobserved		false		false
148	154	3ZOJ_1	3zoj_A__F2QVG4	36	3zoj	A	F2QVG4	30:10269		279	279	1.0	true	true	pass	true	true	true	true	true	1	true	0.942652329749104	0.05734767025089604	88.12	0.16799999999999998	26.0	0.48756766911521254	true			missing_mapping_column	known_blocked	unknown	true		high_pae_long_range_prior	documented_a0_primary_category_precedence_sampling_only	positive_complete	reports/a0_candidate_summary.csv:screening_index=36.0;data/raw/afdb/F2QVG4/model.cif;data/raw/afdb/F2QVG4/pae.json;data/raw/afdb/F2QVG4/plddt.json;data/raw/pdb/3zoj.cif;data/processed/pairs/3zoj_A__F2QVG4/residue_mapping.parquet	true	high_pae_long_range_prior;low_confidence_local_prior	true
